revenue,imdb_rating,wiki_sv,wiki_en,production_budget,sf_rating
99592.0,7.3,0,203.0,18000000.0,3.2
3832.0,6.3,0,24.0,0,2.81
3205.0,6.9,0,128.0,0,3.36
3535653.0,7.8,1550.0,3005.0,200000000.0,3.45
1625198.0,7.3,917.0,10994.0,0,3.25
1226378.0,6.5,0,19409.0,75000000.0,2.89
1924377.0,7.5,295.0,0,175000000.0,3.68
1573886.0,8.0,281.0,208193.0,58000000.0,3.17
1330108.0,8.0,1.0,22336.0,0,3.64
540247.0,7.1,3.0,2632.0,75000000.0,2.67
1289041.0,7.6,6.0,668.0,0,3.53
856746.0,7.5,318.0,65081.0,165000000.0,2.91
1075059.0,6.6,355.0,28414.0,120000000.0,2.69
395161.0,7.1,156.0,110102.0,185000000.0,3.0
428997.0,6.5,7.0,237.0,125000000.0,2.68
588666.0,8.1,7.0,1170.0,30000000.0,4.28
734400.0,7.1,99.0,16219.0,145000000.0,2.88
279524.0,5.3,237.0,0,144000000.0,2.69
429056.0,6.3,0,20109.0,50000000.0,2.48
1059161.0,5.2,249.0,110933.0,165000000.0,1.84
350683.0,7.9,9.0,844.0,47000000.0,3.37
76788.0,6.2,0,78774.0,19000000.0,2.73
223064.0,5.9,0,10222.0,40000000.0,1.24
224552.0,7.1,0,754.0,9900000.0,3.41
640319.0,6.7,232.0,47531.0,110000000.0,3.53
89482.0,6.0,0,36387.0,10000000.0,2.3
223927.0,6.7,70.0,0,65000000.0,3.25
201107.0,6.5,98.0,0,45000000.0,2.58
437000.0,6.3,8.0,192.0,4900000.0,2.65
282716.0,5.7,48.0,14986.0,0,2.09
278423.0,6.5,1.0,46495.0,0,2.48
774981.0,5.7,0,14933.0,105000000.0,2.24
158672.0,7.2,435.0,62869.0,110000000.0,2.72
362143.0,6.2,0,0,38000000.0,2.54
390788.0,6.1,0,29701.0,60000000.0,2.33
113675.0,6.4,4.0,7889.0,140000000.0,2.2
65102.0,6.3,23.0,299.0,17000000.0,3.04
67076.0,5.8,0,16221.0,45000000.0,2.09
824546.0,5.8,295.0,27463.0,125000000.0,1.76
38112.0,7.3,0,9618.0,50000000.0,1.73
367219.0,6.1,0,22349.0,115000000.0,1.98
109458.0,7.8,78.0,7640.0,60000000.0,3.5
1284953.0,6.9,76.0,12265.0,160000000.0,2.29
390813.0,6.1,13.0,388.0,38000000.0,2.0
163288.0,6.0,0,6678.0,33000000.0,1.58
225145.0,7.1,0,1143.0,85000000.0,2.54
70260.0,6.6,0,976.0,19000000.0,2.77
95656.0,6.1,0,26720.0,9000000.0,2.5
251538.0,5.2,287.0,1074.0,38000000.0,1.89
834795.0,6.2,68.0,1217.0,75000000.0,2.39
121633.0,6.3,0,15075.0,22000000.0,3.27
99444.0,4.7,84.0,4480.0,0,2.0
68196.0,4.8,0,888.0,10000000.0,1.88
835388.0,6.6,0,34787.0,35000000.0,2.96
89230.0,5.0,0,5370.0,5000000.0,2.23
4298.0,7.1,0,0,0,3.06
58651.0,6.3,0,5344.0,0,2.67
111631.0,7.2,20.0,330.0,20000000.0,3.12
73198.0,7.5,0,89.0,0,3.87
1828.0,7.4,0,1820.0,15000000.0,3.17
102134.0,6.2,0,572.0,0,2.52
169396.0,5.4,0,1328.0,0,2.57
7825.0,7.2,108.0,141.0,0,2.94
15907.0,7.6,0,1130.0,0,2.88
2924071.0,7.7,84.0,0,0,3.38
40931.0,7.2,37.0,191.0,0,4.11
870.0,6.4,0,1223.0,0,2.93
560.0,6.5,0,521.0,0,2.5
12242.0,7.0,0,59.0,0,4.01
21863.0,7.2,80.0,731.0,0,3.58
13425.0,6.6,0,1.0,0,3.63
3945455.0,8.0,2680.0,481641.0,245000000.0,3.79
1573914.0,7.0,0,0,150000000.0,2.89
1617783.0,7.4,0,0,250000000.0,3.44
1382926.0,7.2,0,0,190000000.0,1.98
548481.0,6.4,0,938.0,74000000.0,2.83
480089.0,6.9,0,0,95000000.0,1.97
2815877.0,6.8,25.0,4584.0,245000000.0,3.4
889100.0,7.4,371.0,497.0,150000000.0,3.43
228020.0,6.4,0,0,29000000.0,2.79
911530.0,8.0,1183.0,1302.0,135000000.0,3.76
547623.0,7.3,261.0,27753.0,130000000.0,3.39
534341.0,6.7,0,0,135000000.0,2.65
544666.0,6.7,75.0,7748.0,80000000.0,2.46
2696028.0,4.1,0,0,40000000.0,2.03
242947.0,6.0,0,0,74000000.0,2.56
267029.0,7.9,66.0,12902.0,28000000.0,3.11
408882.0,6.1,0,0,110000000.0,2.19
580867.0,6.2,0,0,110000000.0,2.69
384910.0,7.1,23.0,6860.0,99000000.0,2.73
501633.0,7.7,0,0,81000000.0,2.93
333327.0,7.0,0,0,65000000.0,3.03
88580.0,7.6,6.0,999.0,35000000.0,3.61
181447.0,6.5,0,0,190000000.0,2.85
751955.0,6.0,0,0,48000000.0,1.77
841197.0,5.1,72.0,3601.0,0,1.83
630450.0,6.3,74.0,31526.0,61000000.0,2.33
322627.0,6.3,160.0,22610.0,68000000.0,2.72
509781.0,7.2,0,0,55000000.0,3.93
194870.0,7.6,334.0,304.0,40000000.0,3.33
51497.0,4.4,0,0,30000000.0,1.28
187336.0,7.8,234.0,15337.0,28000000.0,3.75
231372.0,5.6,113.0,37873.0,14800000.0,2.4
116936.0,6.7,0,0,23000000.0,1.86
240896.0,6.9,0,1677.0,53000000.0,3.36
211384.0,6.6,8.0,2112.0,60000000.0,2.63
228588.0,4.3,45.0,42563.0,120000000.0,2.35
638973.0,7.8,409.0,61150.0,44000000.0,3.32
309065.0,6.6,0,0,50100000.0,2.26
80731.0,7.4,3.0,773.0,30000000.0,2.71
123861.0,6.1,0,0,10000000.0,1.85
63677.0,4.9,0,0,35000000.0,2.36
254331.0,5.3,0,0,176000000.0,1.26
141363.0,7.6,157.0,1185.0,30000000.0,3.38
44590.0,8.1,3.0,476.0,0,4.09
357685.0,7.1,0,2.0,55000000.0,2.9
