bom_movie_name;swedish_page_link;swedish_gross
That Demon Within;N/A;N/A
God's Pocket;N/A;N/A
NAS: Time is Illmatic;N/A;N/A
Keep On Keepin' On;N/A;N/A
Sinbad: The Fifth Voyage;N/A;N/A
Citizen Koch;N/A;N/A
Alan Partridge: The Movie;N/A;N/A
Dancing in Jaffa;N/A;N/A
A Coffee in Berlin;N/A;N/A
Godzilla: The Japanese Original;N/A;N/A
Kids For Cash;N/A;N/A
Gore Vidal: United States of Amnesia;N/A;N/A
The Polar Express (2014 re-issue);N/A;N/A
Mistaken for Strangers;N/A;N/A
The Congress;N/A;N/A
The Divine Move;N/A;N/A
Redwood Highway;N/A;N/A
The Jewish Cardinal;N/A;N/A
Raja Natwarlal;N/A;N/A
Bjork - Biophilia Live;N/A;N/A
Make Your Move;N/A;N/A
Knights of Badassdom;N/A;N/A
Afflicted (2014);N/A;N/A
Finding Fela;N/A;N/A
Zero Motivation;N/A;N/A
God the Father;N/A;N/A
The Liberator;N/A;N/A
Penton: The John Penton Story;N/A;N/A
Rich Hill;N/A;N/A
The Overnighters;N/A;N/A
Duran Duran: Unstaged;N/A;N/A
Anohana The Movie: The Flower We Saw That Day;N/A;N/A
Ivory Tower;N/A;N/A
Six Dance Lessons in Six Weeks;N/A;N/A
The Golden Era;N/A;N/A
God Help the Girl;N/A;N/A
Coherence;N/A;N/A
The Way He Looks;N/A;N/A
Korengal;N/A;N/A
One Chance;N/A;N/A
Beyond Sight: The Derek Rabelo Story;N/A;N/A
The Best Offer;N/A;N/A
Child's Pose;N/A;N/A
Hiroshima Mon Amour (2014 re-release);N/A;N/A
Cuban Fury;N/A;N/A
Generation War;N/A;N/A
Girl on a Bicycle;N/A;N/A
Pump;N/A;N/A
Breathe In;N/A;N/A
The Principle;N/A;N/A
Life After Beth;N/A;N/A
Advanced Style;N/A;N/A
Visitors (2014);N/A;N/A
Watermark;N/A;N/A
12 O'Clock Boys;N/A;N/A
Water & Power;N/A;N/A
Fort McCoy;N/A;N/A
Whitey: USA v. James J. Bulger;N/A;N/A
Just a Sigh;N/A;N/A
Better Living Through Chemistry;N/A;N/A
Veil of Tears;N/A;N/A
Flamenco, Flamenco;N/A;N/A
Je T'aime, Je T'aime (2014 re-issue);N/A;N/A
A Letter to Momo;N/A;N/A
The Better Angels;N/A;N/A
Take Me to the River;N/A;N/A
For No Good Reason;N/A;N/A
The Notebook (2014);N/A;N/A
Through a Lens Darkly;N/A;N/A
Art of the Steal;N/A;N/A
Jealousy;N/A;N/A
Heropanti;N/A;N/A
No Tears for the Dead;N/A;N/A
The Last Sentence;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=lastsentence.htm;243547
Young and Beautiful;N/A;N/A
Siddharth;N/A;N/A
Bicycling with Moliere;N/A;N/A
Frontera;N/A;N/A
Wetlands;N/A;N/A
Cheap Thrills;N/A;N/A
Walk of Shame;N/A;N/A
The One I Wrote For You;N/A;N/A
Sagrada: The Mystery of Creation;N/A;N/A
The Conformist (2014 re-release);N/A;N/A
Rudderless;N/A;N/A
Borgman;N/A;N/A
The Rocket (2014);N/A;N/A
Ilo Ilo;N/A;N/A
The Bag Man;N/A;N/A
Big Men;N/A;N/A
In Bloom;N/A;N/A
Hellion;N/A;N/A
Starred Up;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=starredup.htm;47969
Half of a Yellow Sun;N/A;N/A
Low Down;N/A;N/A
Hateship Loveship;N/A;N/A
1,000 Times Good Night;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=1000times.htm;19432
At Middleton;N/A;N/A
Ping Pong Summer;N/A;N/A
To Be Takei;N/A;N/A
The Missing Picture;N/A;N/A
The Retrieval;N/A;N/A
The Discoverers;N/A;N/A
NOW: In the Wings on a World Stage;N/A;N/A
Shirin in Love;N/A;N/A
The Internet's Own Boy;N/A;N/A
A Birder's Guide to Everything;N/A;N/A
American Mustang;N/A;N/A
Viva La Liberta;N/A;N/A
Lucky Them;N/A;N/A
Decoding Annie Parker;N/A;N/A
Alphaville (2013 re-release);N/A;N/A
A Master Builder;N/A;N/A
Monk With a Camera;N/A;N/A
Filmistaan;N/A;N/A
Return to The Hiding Place;N/A;N/A
Ai Weiwei: The Fake Case;N/A;N/A
There's No Place Like Utopia;N/A;N/A
The Dog;N/A;N/A
If You Build It;N/A;N/A
Road to Ninja - Naruto the Movie;N/A;N/A
Next Goal Wins;N/A;N/A
Interior. Leather Bar.;N/A;N/A
Blood Ties (2014);N/A;N/A
The Last Of The Unjust;N/A;N/A
Teenage;N/A;N/A
Child of God;N/A;N/A
Expedition to the End of the World;N/A;N/A
7 Boxes;N/A;N/A
Dead Snow 2: Red vs. Dead;N/A;N/A
Not Cool;N/A;N/A
