revenue,imdb_rating
683843.0,7.8
3590848.0,7.4
665419.0,5.7
570384.0,7.0
933813.0,8.0
1008111.0,7.8
981934.0,7.6
1035953.0,6.7
845286.0,6.4
504222.0,7.0
578121.0,5.8
1366682.0,8.6
1140226.0,7.8
578479.0,8.1
457362.0,6.7
339414.0,6.3
725902.0,6.3
98362.0,6.0
409811.0,6.4
297673.0,7.8
360496.0,7.2
346695.0,6.2
382985.0,6.8
685514.0,6.2
653345.0,6.8
329316.0,7.2
708699.0,5.8
451149.0,7.9
254899.0,7.0
340803.0,8.0
816838.0,5.6
117804.0,5.3
603696.0,7.6
416310.0,5.4
462852.0,6.0
520808.0,6.7
414464.0,6.5
501552.0,6.1
154476.0,6.0
114303.0,6.5
768417.0,6.0
92300.0,5.8
496316.0,8.1
692317.0,6.0
555296.0,6.2
455109.0,6.3
111865.0,7.3
110392.0,4.5
156416.0,6.8
232247.0,6.2
15329.0,6.8
124690.0,5.8
22850.0,6.5
391424.0,6.5
194560.0,6.1
51796.0,7.3
93529.0,7.7
205044.0,6.1
199162.0,5.1
89218.0,7.1
129274.0,7.7
220035.0,5.0
33804.0,6.6
93616.0,6.2
40510.0,6.5
89304.0,6.5
50678.0,7.9
56101.0,5.5
56163.0,6.3
47651.0,6.2
41885.0,5.7
26805.0,5.1
44552.0,6.8
28773.0,7.4
40427.0,5.8
25311.0,7.0
119550.0,6.5
19774.0,8.5
20051.0,7.0
113040.0,6.6
16703.0,7.0
9812.0,6.8
53478.0,7.8
36678.0,7.8
29620.0,6.8
37312.0,7.4
33108.0,8.1
20202.0,6.8
11652.0,8.1
27695.0,7.4
33478.0,6.6
5210.0,6.7
24693.0,7.3
25257.0,6.5
451.0,5.4
40629.0,7.8
17644.0,7.4
13134.0,7.1
31801.0,7.6
11090.0,6.4
23272.0,8.1
51188.0,7.0
30818.0,8.0
19894.0,7.8
25650.0,6.4
14043.0,6.5
266247.0,7.2
36720.0,6.1
21060.0,7.4
7111.0,7.1
131967.0,6.3
10403.0,4.6
2751512.0,7.5
1782207.0,7.2
2475889.0,7.5
896702.0,7.4
1134513.0,7.1
954656.0,7.8
472061.0,7.3
4067604.0,7.9
1339372.0,5.1
811662.0,6.3
189182.0,7.8
1162406.0,7.0
960378.0,7.0
829993.0,7.2
359183.0,6.6
326995.0,7.0
414591.0,7.3
533243.0,7.3
194654.0,7.5
51084.0,5.7
242535.0,5.4
827629.0,6.7
175228.0,6.3
65506.0,7.5
