revenue,imdb_rating,wiki_sv,wiki_en,production_budget,sf_rating,mpaa_rating,director,writer,actor,seasonal_index
227499.0,5.8,66.0,1498.0,10000000.0,0,4,0,0,0,1.284840139
150796.0,6.2,0,27431.0,33000000.0,3.31,4,0,0,660.0,0.9029712391
278789.0,8.2,350.0,41593.0,0,4.1,4,0,0,573.0,0.9241723657
266980.0,7.5,493.0,394.0,0,3.62,4,613.0,613.0,298.0,0.996680935
45118.0,5.8,0,21451.0,35000000.0,1.57,4,0,0,531.0,2.194908423
290559.0,6.6,0,0,58000000.0,3.65,4,0,0,132.0,0.7147995517
142936.0,4.5,1.0,618.0,25000000.0,1.56,3,0,0,227.0,0.996680935
40810.0,7.1,0,16037.0,29000000.0,2.96,3,1313.0,0,373.0,0.9400340884
126457.0,5.6,0,41795.0,40000000.0,1.92,4,0,0,570.0,0.996680935
166777.0,5.7,399.0,186.0,68000000.0,2.96,4,0,0,792.0,0.9241723657
102586.0,6.8,0,914.0,0,2.77,3,0,0,1982.0,0.9029712391
65036.0,5.2,77.0,22621.0,20000000.0,2.35,4,0,0,306.0,0.7194038481
385430.0,6.2,0,103.0,0,0,2,0,0,608.0,1.284840139
9820.0,5.6,0,84.0,0,1.75,4,0,0,836.0,0.6532841
64650.0,6.7,0,1.0,30000000.0,1.97,4,1608.0,1608.0,557.0,0.9029712391
24339.0,7.1,0,3000.0,0,2.52,3,0,0,492.0,0.9732969783
6710.0,7.2,8.0,6204.0,0,3.04,3,0,0,1048.0,0.6549129108
129724.0,6.4,0,51738.0,40000000.0,2.83,4,0,0,698.0,0.996680935
369063.0,5.1,1.0,865.0,35000000.0,2.53,4,0,0,577.0,1.284840139
72411.0,7.7,654.0,15423.0,0,4.28,4,899.0,899.0,465.0,0.996680935
1458.0,5.9,0,802.0,250000.0,0,4,0,0,0,0.9029712391
63809.0,6.8,113.0,2973.0,0,2.65,3,0,0,547.0,0.7147995517
11122.0,6.2,0,352.0,1000000.0,2.95,2,0,0,0,0.9732969783
99592.0,7.3,0,203.0,18000000.0,3.2,4,1785.0,0,1112.0,0.996680935
3832.0,6.3,0,24.0,0,2.81,2,0,0,405.0,0.9241723657
3205.0,6.9,0,128.0,0,3.36,3,0,0,0,2.194908423
3535653.0,7.8,1550.0,3005.0,200000000.0,3.45,3,0,0,1309.0,2.194908423
1625198.0,7.3,917.0,10994.0,0,3.25,2,0,0,0,0.9400340884
1226378.0,6.5,0,19409.0,75000000.0,2.89,2,0,0,837.0,0.9400340884
1924377.0,7.5,295.0,0,175000000.0,3.68,2,602.0,0,999.0,0.6549129108
1573886.0,8.0,281.0,208193.0,58000000.0,3.17,4,0,0,130.0,0.996680935
1330108.0,8.0,1.0,22336.0,0,3.64,2,0,0,466.0,0.996680935
540247.0,7.1,3.0,2632.0,75000000.0,2.67,2,0,0,742.0,2.194908423
1289041.0,7.6,6.0,668.0,0,3.53,2,0,0,380.0,0.996680935
856746.0,7.5,318.0,65081.0,165000000.0,2.91,3,0,0,418.0,1.284840139
1075059.0,6.6,355.0,28414.0,120000000.0,2.69,3,0,0,592.0,1.040695421
395161.0,7.1,156.0,110102.0,185000000.0,3.0,3,0,674.0,868.0,1.040695421
428997.0,6.5,7.0,237.0,125000000.0,2.68,2,0,0,318.0,1.284840139
588666.0,8.1,7.0,1170.0,30000000.0,4.28,3,0,0,257.0,0.9241723657
734400.0,7.1,99.0,16219.0,145000000.0,2.88,2,0,0,622.0,0.7147995517
279524.0,5.3,237.0,0,144000000.0,2.69,3,0,0,330.0,1.040695421
429056.0,6.3,0,20109.0,50000000.0,2.48,3,0,621.0,431.0,0.7194038481
1059161.0,5.2,249.0,110933.0,165000000.0,1.84,3,0,0,840.0,0.7194038481
350683.0,7.9,9.0,844.0,47000000.0,3.37,3,1200.0,0,283.0,2.194908423
76788.0,6.2,0,78774.0,19000000.0,2.73,4,0,0,472.0,0.9400340884
223064.0,5.9,0,10222.0,40000000.0,1.24,3,0,0,837.0,0.9241723657
